Date,Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),CTD Temperature (C),CTD Specific Conductivity (uS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (uE/m2/s),Turbidity (NTU),Particulate Microcystin (ug/L),Dissolved Microcystin (ug/L),Extracted Phycocyanin (ug/L),Extracted Chlorophyll a (ug/L),Total Phosphorus (ug P/L),Total Dissolved Phosphorus (ug P/L),Soluble Reactive Phosphorus (ug P/L),Ammonia (ug N/L),Nitrate + Nitrite (mg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
7/1/2019,WE4,9.14,0.75,Surface,9:12,41.8259,-83.1925,8.14,0.97,sunny,1.25,24.4,331,2.9,48.9,10.2,411.3,3.54,<0.1,<0.1,2.84,42.01,37.96,6.86,1.38,7.32,1.05,1.62,0.22,1.91,7.22,4.69
7/1/2019,WE6,3.32,0.75,Surface,12:01,41.7055,-83.3853,7.22,0.34,sunny,0.5,26.3,376.9,5.6,24.5,7.1,342.95,15.8,<0.1,<0.1,5.74,19.99,199.05,112,105.31,24.88,3.391,1.01,0.19,4.99,10.98,2.93
7/1/2019,WE8,5.58,0.75,Surface,8:19,41.8332,-83.3581,6.49,0.83,sunny,1,24.7,374.5,3,47.7,8.4,156.93,7.81,<0.1,<0.1,1.05,33.76,108.32,50.25,44.09,4.01,2.019,0.83,0.16,3.44,6.38,2.13
7/1/2019,WE8,,4.9,Bottom,,,,,,,,24.7,375.5,2.9,47.9,9,0.41,,<0.1,<0.1,0.79,,,,,,,,,,,
7/1/2019,WE9,3.07,0.75,Surface,12:21,41.7179,-83.4226,8.22,0.32,sunny,0.375,26.6,387.5,15.7,2,5.8,104.29,36.1,<0.1,<0.1,6.07,28.91,281.57,131.29,128.37,47.48,3.591,2.05,0.41,5.9,28.7,4.54
7/1/2019,WE12,6.9,0.75,Surface,11:16,41.7034,-83.2545,5.29,0.29,sunny,1.75,25,320.1,2.4,54.4,9.9,774.33,4.28,<0.1,<0.1,1.75,36.06,38.66,8.89,1.59,3.61,1.096,1.37,0.17,2.22,5.74,2.87
7/1/2019,WE12,,6.3,Bottom,,,,,,,,20.4,308.5,6.9,17.8,5,1.91,,<0.1,<0.1,0.17,,,,,,,,,,,
7/1/2019,WE13,9.44,0.75,Surface,10:03,41.7415,-83.1375,4.26,0.79,sunny,3,23.9,271.8,1.3,72.1,8.6,959.12,1.65,<0.1,<0.1,0.42,10.24,18.24,3.4,2.12,10.45,0.587,0.52,0.09,0.76,3.3,1.71
7/1/2019,WE13,,8.6,Bottom,,,,,,,,19.2,249.2,6.9,18.5,5.3,16.02,,<0.1,<0.1,0.12,,,,,,,,,,,
7/1/2019,WE16,6.5,0.75,Surface,10:41,41.6582,-83.1437,3.26,0.5,sunny,3,24.6,308,1.1,75.3,8.8,1065.53,1.62,<0.1,<0.1,0.15,8.31,19.42,4.88,0.92,15.36,0.9,0.63,0.07,1.62,1.95,1.41
7/8/2019,WE2,6.24,0.75,Surface,13:04,41.7628,-83.3287,9.11,1.64,partly sunny,0.9,25.3,327.1,3.5,42.1,6.1,715.39,8.04,<0.1,<0.1,11.89,28.35,80.48,13.5,5.69,46.54,1.168,1.05,0.16,2.84,7.71,2.47
7/8/2019,WE2,,5.5,Bottom,,,,,,,,25.1,326.7,4.1,36.3,6.4,1.38,,<0.1,<0.1,3.59,33.88,,,,,,,,,,
7/8/2019,WE4,8.91,0.75,Surface,9:16,41.8267,-83.1936,10.26,1.82,partly sunny,3.75,23.1,237.9,1.7,65.7,6.3,1233.71,1.41,<0.1,<0.1,0.07,3.04,16.68,1.68,0.88,44.43,0.339,0.3,0.06,0.31,1.22,0.89
7/8/2019,WE6,3.55,0.75,Surface,12:13,41.7054,-83.3838,10.67,0.97,partly sunny,0.25,25.8,401,13.2,3.7,5.7,135.33,33.7,0.12,<0.1,4.64,31.56,297.21,106.03,74.15,156.4,2.662,1.35,0.28,4.73,28.48,3.89
7/8/2019,WE8,4.99,0.75,Surface,8:26,41.8357,-83.359,9.72,1.64,partly cloudy,1.25,25.5,326.9,2.8,49.8,6.3,332.19,8.39,0.12,<0.1,2.51,11.18,81.16,19.75,10.67,105,1.012,0.69,0.14,2.01,7.92,1.75
7/8/2019,WE8,,4.6,Bottom,,,,,,,,25.6,327.5,2.7,51.1,5.8,2.88,,0.21,<0.1,1.28,10.85,,,,,,,,,,
7/8/2019,WE9,3.28,0.75,Surface,12:33,41.7179,-83.4222,10.28,0.92,sunny,0.3,26.4,442,13.9,3.1,4.2,179.47,32.5,<0.1,<0.1,1.7,32.08,284.28,93.68,59.81,297.12,2.148,1.53,0.28,4.6,29.6,4.01
7/8/2019,WE12,7.25,0.75,Surface,11:31,41.7043,-83.2526,10.84,1.94,partly sunny,0.7,25.2,341.2,6.1,23.8,6.7,480.01,11.5,<0.1,<0.1,3.04,25.88,106.01,20.69,8.56,55.2,1.542,1.01,0.22,2.92,12.64,2.16
7/8/2019,WE12,,6.5,Bottom,,,,,,,,25.2,341.2,5,28.5,6.1,23.46,,<0.1,<0.1,2.75,28.13,,,,,,,,,,
7/8/2019,WE13,9.53,0.75,Surface,9:55,41.7449,-83.1379,10.9,1.76,partly cloudy,2,24.8,316.9,2.8,56.7,6.1,800.72,2.26,<0.1,<0.1,5.73,8.61,35.4,5.85,3.31,52.15,0.97,0.46,0.12,1.75,2.54,1.47
7/8/2019,WE13,,8.7,Bottom,,,,,,,,20.8,324.3,6.7,19,1.1,1.75,,<0.1,<0.1,2.26,6.63,,,,,,,,,,
7/8/2019,WE16,6.51,0.75,Surface,10:28,41.6594,-83.145,12.15,1.84,partly sunny,1,25.3,303.1,5.3,26.9,5.8,598.81,8.53,<0.1,<0.1,1.06,14.92,74.4,5.8,4.05,32.11,0.788,0.85,0.15,1.21,11.6,1.51
7/15/2019,WE2,5.73,0.75,Surface,13:05,41.7621,-83.33,9.68,0.8,sunny,1,26.7,330.8,2.8,49.3,6.4,665.5,8.21,0.38,0.2,94.07,35.15,56.16,12.83,7.15,16.71,1.214,2.37,0.43,2.22,,
7/15/2019,WE2,,4.9,Bottom,,,,,,,,25.7,320.3,2.3,56.3,6.4,5.89,,0.11,0.12,7.12,6.13,,,,,,,,,,
7/15/2019,WE4,9.02,0.75,Surface,9:11,41.8258,-83.1951,6.47,0.93,sunny,2.75,24.5,241.8,1.4,70.4,6.5,1084.68,0.96,<0.1,<0.1,0.35,6.7,9.49,2.08,1.19,3.66,0.345,0.46,0.09,0.28,1.62,0.8
7/15/2019,WE6,3.4,0.75,Surface,12:08,41.7052,-83.3854,7.29,0.3,sunny,1,28.1,408.9,4.5,32.7,8.4,419.71,14.8,1.17,0.2,160.84,88.92,129.68,32.67,25.12,6.42,1.894,4.56,0.86,4.12,13.43,9.41
7/15/2019,WE8,5.64,0.75,Surface,8:25,41.8333,-83.3585,6.32,0.74,sunny,1.25,26.1,337.6,2.4,55,6.2,247.21,5.32,0.29,0.2,77.38,26.39,51.92,17.17,11.4,22.84,1.192,1.49,0.34,3.43,5.5,4.08
7/15/2019,WE8,,4.8,Bottom,,,,,,,,26.1,339.6,1.9,62.3,6.8,1.09,,0.25,0.15,34.91,27.37,,,,,,,,,,
7/15/2019,WE9,3.03,0.75,Surface,12:33,41.7176,-83.423,8.8,0.41,sunny,0.5,27.6,445.8,8,13.7,6.7,356.14,16,<0.1,<0.1,37.34,36.51,104.14,47.74,36.33,36.2,1.884,1.94,0.33,4.01,15.5,5.31
7/15/2019,WE12,7.2,0.75,Surface,11:19,41.7035,-83.2537,5.36,0.54,sunny,1.5,26.2,319.7,2.5,54,6.8,784.7,5.77,0.29,<0.1,50.57,28.86,36,9.83,4.28,15.72,1.042,1.6,0.25,1.93,5.97,4.18
7/15/2019,WE12,,6.4,Bottom,,,,,,,,25.3,299.9,4.5,35.2,5.7,2.79,,<0.1,0.1,0.39,3.5,,,,,,,,,,
7/15/2019,WE13,9.57,0.75,Surface,10:02,41.7425,-83.136,7.26,0.88,sunny,3,25.6,277.7,1.6,68.6,6.4,1145.42,1.65,<0.1,<0.1,9.4,8.03,16.76,3.78,3.16,16.23,0.611,0.59,0.12,0.93,2.1,1.42
