date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,wave_height,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
8/10/2020,WE8,,4.3,Bottom,,,,,,,,24.7,253.2,,,8.17,,,0.89,0.19,4.56,16.84,,,,,,,,,,
8/10/2020,WE9,2.83,0.75,Surface,11:14,41.7175,-83.4244,7.78,0.33,sunny,0.5,25.3,331.8,,,8.48,,12.2,1.35,<0.1,20.99,45.11,70.64,17.99,13.83,1.58,0.003,2.83,0.5,1.23,14.45,6.38
8/10/2020,WE12,6.89,0.75,Surface,10:20,41.702,-83.2543,5.83,0.33,sunny,1,25,287.5,,,8.73,,6.63,0.73,0.25,7.82,21.39,29.66,7.09,3.64,1.37,0.003,2.08,0.3,0.87,6.73,4.08
8/10/2020,WE12,,6.1,Bottom,,,,,,,,24.5,284.3,,,8.05,,,1.93,0.27,19.37,51.53,,,,,,,,,,
8/10/2020,WE13,9.18,0.75,Surface,9:16,41.742,-83.1364,7,0.66,sunny,2.5,25,231.6,,,8.15,,3.12,0.89,0.15,3.16,14.5,18.55,4.25,3.12,1.9,0.115,1.14,0.18,0.29,14.85,8.2
8/10/2020,WE13,,8.4,Bottom,,,,,,,,24.5,229.6,,,7.54,,,0.72,0.23,1.02,19.11,,,,,,,,,,
8/10/2020,WE16,6.18,0.75,Surface,9:48,41.6578,-83.1458,5.83,0.33,sunny,2.5,24.9,271.6,,,8.1,,5.82,1.71,0.21,9.12,14.5,20.35,5.86,5.07,6.01,0.152,1.18,0.18,0.57,10.43,6.77
8/17/2020,WE2,5.56,0.75,Surface,11:15,41.762,-83.3308,3.89,0.33,mostly sunny,1,25.4,282.5,,,7.09,,7.46,0.46,0.24,32.4,22.3,43.69,9.14,5.57,3.45,<0.002,1.87,0.3,0.86,7.98,3.62
8/17/2020,WE2,,4.5,Bottom,,,,,,,,25,283.7,,,6.83,,,0.36,0.21,21.93,20.87,,,,,,,,,,
8/17/2020,WE4,8.93,0.75,Surface,8:37,,,5.05,0.66,mostly cloudy,2,25,229,,,7.1,,1.63,0.1,<0.1,3.26,8.1,17.86,4.49,2.82,13.25,0.215,0.53,0.07,0.27,2.82,0.94
